127.0.0.1 - - [10/Mar/2025:09:07:18 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:32 +0900] "GET /my/ HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:32 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:33 +0900] "GET /my/list.bo?cpage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:33 +0900] "GET /my HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:33 +0900] "GET /my/ HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:33 +0900] "GET /my/list.bo?cpage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:33 +0900] "GET /my HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:33 +0900] "GET /my/ HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:33 +0900] "GET /my/list.bo?cpage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:33 +0900] "GET /my HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:33 +0900] "GET /my/ HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:34 +0900] "GET /my/list.bo?cpage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:34 +0900] "GET /my HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:34 +0900] "GET /my/ HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:34 +0900] "GET /my/list.bo?cpage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:34 +0900] "GET /my HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:34 +0900] "GET /my/ HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:34 +0900] "GET /my/list.bo?cpage=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:07:34 +0900] "GET /my HTTP/1.1" 302 -
